date,Central bank liquidity swaps,"Commercial paper held by Commercial Paper Funding Facility LLC, book value (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 15 days (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 16 days to 90 days (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 91 days to 1 year (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, face value (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 15 days (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 16 days to 90 days (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 91 days to 1 year (Post 2020-04-14)",Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program) Maturing within 16 days to 90 days (Effective 2020-06-01),"Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Book Value (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing over 1 year to 5 years (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing within 15 days (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing within 91 days to 1 year (Effective 2020-06-01)",Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Bank Term Funding Program, net","Credit extended to American International Group, Inc., Net","Money Market Mutual Fund Liquidity Facility (Post 2020-03-18, Through 2022-04-20)",Other credit extensions,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),"Primary dealer credit facility (Post 2020-03-17, Through 2022-04-20)",Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,"Loans held by TALF II LLC (Book Value), (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing over 1 year to 5 years (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 15 days (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 16 days to 90 days (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 91 days to 1 year (Effective 2020-06-16)",Payroll Protection Program Liquidity Facility,"Municipal notes held by Municipal Liquidity Facility LLC, Book  Value (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing over 1 year to 5 years (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 15 days (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 16 days to 90 days (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 91 days to 1 year (Effective 2020-06-10)","Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14, Through 2022-06-29)",Net portfolio holdings of Commercial Paper Funding Facility LLC,"Net portfolio holdings of Corporate Credit Facility LLC (Post 2020-05-13, Through 2022-12-28)",Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Net portfolio holdings of MS Facilities 2020 LLC (Main Street Lending Program) (Effective 2020-06-01),Net portfolio holdings of Municipal Liquidity Facility LLC (Effective 2020-05-26),Net portfolio holdings of TALF II LLC (Effective 2020-06-16),Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal"
2002-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1035,11039,0,10019,9161,30000,2200,0,10,0,226682,1253,12242,389219
2002-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,1011,11039,0,14316,9909,37250,2200,0,10,0,226682,1258,12242,389219
2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,988,11039,0,11498,9356,39500,2200,0,10,0,226682,1263,12242,389219
2003-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,996,11039,0,9493,9914,33750,2200,0,10,0,226682,1263,12242,389219
2003-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,1043,11039,0,9406,9942,30000,2200,0,10,0,226682,1263,12242,389219
2003-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,1085,11039,0,17768,10442,36750,2200,0,10,0,226682,1263,12242,389219
2003-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,1111,11039,0,10758,10831,20500,2200,0,10,0,226682,1263,12242,389219
2003-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,1134,11039,0,10201,10850,27750,2200,0,10,0,226682,1257,12242,389219
2003-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,1142,11039,0,9095,11276,20746,2200,0,10,0,227238,1250,12242,390217
2003-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,1123,11039,0,15321,7821,34496,2200,0,10,0,227561,1242,12242,390217
2003-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,1100,11039,0,10438,8223,25750,2200,0,10,0,230606,1235,12242,391913
2003-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,1080,11039,0,12127,8291,23250,2200,0,10,0,231061,1242,12242,392593
2003-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,1070,11039,0,8981,8618,18750,2200,0,10,0,231305,1256,12242,393911
