date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2002-12-18,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,16551,1534,1035,11039,0,10019,0,9161,30000,2200,0,10,0,226682,1253,12242,389219,-1058,10829
2002-12-25,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,16655,1540,1011,11039,0,14316,0,9909,37250,2200,0,10,0,226682,1258,12242,389219,-1048,10793
2003-01-01,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,16913,1543,988,11039,0,11498,0,9356,39500,2200,0,10,0,226682,1263,12242,389219,-1054,10762
2003-01-08,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16847,1541,996,11039,0,9493,0,9914,33750,2200,0,10,0,226682,1263,12242,389219,-1034,10722
2003-01-15,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,17060,1542,1043,11039,0,9406,0,9942,30000,2200,0,10,0,226682,1263,12242,389219,-1024,10687
2003-01-22,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,17180,1541,1085,11039,0,17768,0,10442,36750,2200,0,10,0,226682,1263,12242,389219,-1016,10652
2003-01-29,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,17299,1543,1111,11039,0,10758,0,10831,20500,2200,0,10,0,226682,1263,12242,389219,-1009,10617
2003-02-05,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,17178,1539,1134,11039,0,10201,0,10850,27750,2200,0,10,0,226682,1257,12242,389219,-1016,10582
2003-02-12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16977,1541,1142,11039,0,9095,0,11276,20746,2200,0,10,0,227238,1250,12242,390217,-1011,10580
2003-02-19,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,17180,1557,1123,11039,0,15321,0,7821,34496,2200,0,10,0,227561,1242,12242,390217,-1021,10546
